商品名称,价格,简介
AOC27G2,1449.00元,商品编号:100006442384;商品毛重:7.36kg;商品产地:中国大陆;屏幕尺寸:27英寸;分辨率:1920*1080dpi;对比度:1000:1;响应时间:1ms;屏幕刷新率:144Hz;售后服务:3年质保;面板:IPS技术;接口:DP，HDMI，VGA，音频/耳机输出;特性:旋转升降底座;屏幕比例:16:9;
AOCQ2790PQ,1549.00元,商品编号:6241719;商品毛重:8.24kg;商品产地:中国大陆;屏幕尺寸:27英寸;分辨率:2560*1440dpi;对比度:1000:1;响应时间:5ms;屏幕刷新率:60Hz;售后服务:3年质保;面板:IPS技术;接口:DP，HDMI，VGA，音频/耳机输出;特性:旋转升降底座;屏幕比例:16:9;
凯科迈H320A,899.00元,商品编号:59683882302;店铺: 凯科迈显示器旗舰店;商品毛重:10.0kg;屏幕尺寸:31.5-32英寸;分辨率:1920*1080dpi;对比度:1000:1;响应时间:2ms-4ms;屏幕刷新率:60Hz;售后服务:1年质保;面板:VA;接口:HDMI，VGA，音频/耳机输出;曲率:1800R;
AOCI2490VXH/BS,879.00元,商品编号:5155905;商品毛重:4.85kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;分辨率:1920*1080dpi;对比度:1000:1;类型:商用大屏显示器;响应时间:5ms;屏幕刷新率:60Hz;售后服务:3年质保;面板:IPS（LGD）;接口:HDMI，VGA，音频/耳机输出;特性:节能认证，可壁挂;屏幕比例:16:9;
三星S24R352F,999.00元,商品编号:100007193438;商品毛重:4.86kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;分辨率:1920*1080dpi;对比度:1000:1;屏幕刷新率:75Hz;售后服务:1年质保;面板:IPS技术;接口:HDMI，VGA;特性:FreeSync，可壁挂;屏幕比例:16:9;
三星S27R350FHC,1099.00元,商品编号:100010935292;商品毛重:5.28kg;商品产地:中国大陆;屏幕尺寸:27英寸;分辨率:1920*1080dpi;对比度:1000:1;屏幕刷新率:75Hz;售后服务:1年质保;面板:IPS技术;接口:HDMI，VGA;特性:FreeSync，可壁挂;屏幕比例:16:9;
三星S32AM700PC,2299.00元,商品编号:100015023791;商品毛重:8.23kg;商品产地:中国大陆;屏幕尺寸:31.5-32英寸;HDR:HDR10;分辨率:3840*2160dpi;对比度:3000:1;屏幕刷新率:60Hz;售后服务:1年质保;面板:VA;接口:Type-C，HDMI;特性:无线投屏;屏幕比例:16:9;
KKTVK22Y,599.00元,商品编号:100012280513;商品毛重:3.08kg;商品产地:中国大陆;屏幕尺寸:21.5英寸及以下;屏幕刷新率:75Hz;分辨率:其他;售后服务:1年质保;面板:其他;接口:VGA，其他;
KKTVK32QB,1199.00元,商品编号:100027823198;商品毛重:6.3kg;商品产地:中国大陆;屏幕尺寸:31.5-32英寸;屏幕刷新率:75Hz;分辨率:1920*1080dpi;售后服务:1年质保;面板:其他;对比度:3000:1;接口:HDMI，VGA;
AOCCU34G2X,2599.00元,商品编号:100009414084;商品毛重:11.95kg;商品产地:中国大陆;屏幕尺寸:34-35英寸;HDR:HDR10;分辨率:3440*1440dpi;对比度:3000:1;响应时间:1ms;屏幕刷新率:144Hz;面板:VA;售后服务:3年质保;屏幕比例:21:9;接口:DP，HDMI，USB扩展/充电，音频/耳机输出;特性:FreeSync;曲率:1500R;
小米RMMNT27NQ,1199.00元,商品编号:100013183249;商品毛重:5.7kg;商品产地:中国大陆;屏幕尺寸:27英寸;分辨率:2560*1440dpi;对比度:1000:1;屏幕刷新率:60Hz;售后服务:3年质保;面板:IPS技术;接口:HDMI，VGA，音频/耳机输出;特性:节能认证;屏幕比例:16:9;
飞利浦273V7QDSBF,989.00元,商品编号:7299682;商品毛重:5.823kg;商品产地:中国大陆;屏幕尺寸:27英寸;分辨率:1920*1080dpi;对比度:1000:1;响应时间:2ms-4ms;屏幕刷新率:75Hz;售后服务:3年质保;面板:IPS技术;接口:HDMI，DVI，VGA;特性:可壁挂;屏幕比例:16:9;
戴尔S2421HSX,1199.00元,商品编号:100008352203;商品毛重:6.95kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;分辨率:1920*1080dpi;对比度:1000:1;响应时间:2ms-4ms;屏幕刷新率:75Hz;售后服务:3年质保;面板:IPS技术;接口:DP，HDMI，音频/耳机输出;特性:节能认证，旋转升降底座，FreeSync，TUV爱眼认证;屏幕比例:16:9;
雷神TR-C27H144,1099.00元,商品编号:7224931;商品毛重:6.35kg;商品产地:中国大陆;屏幕尺寸:27英寸;分辨率:1920*1080dpi;响应时间:2ms-4ms;屏幕刷新率:144Hz;售后服务:3年质保;面板:VA;接口:DP，HDMI，DVI，音频/耳机输出;屏幕比例:16:9;曲率:1800R;
KKTVK24QDJ,869.00元,商品编号:100014058189;商品毛重:3.46kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;屏幕刷新率:144Hz;分辨率:其他;售后服务:1年质保;面板:其他;接口:DP，HDMI;
小米XMMNT238CZ,849.00元,商品编号:100021838654;商品毛重:5.3kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;分辨率:1920*1080dpi;对比度:1000:1;屏幕刷新率:60Hz;售后服务:3年质保;面板:IPS技术;接口:HDMI;特性:节能认证;屏幕比例:16:9;
AOC24G2,1299.00元,商品编号:100004239411;商品毛重:5.86kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;分辨率:1920*1080dpi;对比度:1000:1;响应时间:1ms;屏幕刷新率:144Hz;售后服务:3年质保;面板:IPS技术;接口:DP，HDMI，VGA，音频/耳机输出;特性:旋转升降底座;屏幕比例:16:9;
AOCQ27G2S/D,2199.00元,商品编号:100021043464;商品毛重:7.85kg;商品产地:中国大陆;屏幕尺寸:27英寸;HDR:HDR400;分辨率:2560*1440dpi;对比度:700:1;响应时间:1ms;屏幕刷新率:170Hz;售后服务:3年质保;面板:IPS (Fast);接口:DP，HDMI，音频/耳机输出;特性:旋转升降底座，FreeSync;屏幕比例:16:9;
BOECA24HA,799.00元,商品编号:100026390248;商品毛重:4.37kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;屏幕刷新率:75Hz;分辨率:1920*1080dpi;售后服务:3年质保;面板:IPS技术;对比度:1000:1;屏幕比例:16:9;接口:HDMI，VGA;
飞利浦243i7QSB,849.00元,商品编号:100000757278;商品毛重:4.6kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;分辨率:1920*1080dpi;对比度:1000:1;屏幕刷新率:60Hz;售后服务:3年质保;面板:IPS（LGD）;接口:DVI，VGA;特性:可壁挂;屏幕比例:16:9;
雷神LF27C240,1199.00元,商品编号:100021040406;商品毛重:6.58kg;商品产地:中国大陆;屏幕尺寸:27英寸;分辨率:1920*1080dpi;屏幕刷新率:240Hz及以上;面板:VA;售后服务:3年质保;接口:DP，HDMI，音频/耳机输出;屏幕比例:16:9;特性:G-Sync，FreeSync;曲率:1500R;
创维M241FJ,779.00元,商品编号:100025262276;商品毛重:4.3kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;屏幕刷新率:75Hz;分辨率:1920*1080dpi;售后服务:3年上门，3年质保;面板:IPS技术;屏幕比例:16:9;接口:HDMI，VGA;
KKTVK20Z,429.00元,商品编号:100016676992;商品毛重:3.4kg;商品产地:中国大陆;屏幕尺寸:21.5英寸及以下;屏幕刷新率:60Hz;分辨率:其他;售后服务:1年质保;面板:其他;接口:其他;
三星C32G54TQWC,2199.00元,商品编号:100014719916;商品毛重:7.75kg;商品产地:中国大陆;屏幕尺寸:31.5-32英寸;HDR:HDR10;分辨率:2560*1440dpi;对比度:2500:1;响应时间:1ms;屏幕刷新率:144Hz;面板:VA;售后服务:1年质保;屏幕比例:16:9;接口:DP，HDMI，音频/耳机输出;特性:FreeSync;曲率:1000R;
LG27UL550,1699.00元,商品编号:100002302927;商品毛重:8.68kg;商品产地:中国大陆;屏幕尺寸:27英寸;HDR:HDR10;分辨率:3840*2160dpi;对比度:1000:1;响应时间:5ms;屏幕刷新率:60Hz;售后服务:3年质保;面板:IPS技术;接口:DP，HDMI，音频/耳机输出;特性:旋转升降底座，FreeSync，可壁挂;屏幕比例:16:9;
戴尔S2721DGF,2499.00元,商品编号:100014522238;商品毛重:9.75kg;商品产地:中国大陆;屏幕尺寸:27英寸;HDR:HDR400;分辨率:2560*1440dpi;对比度:1000:1;响应时间:1ms;屏幕刷新率:165Hz;售后服务:3年质保;面板:IPS (Fast);接口:DP，HDMI，USB扩展/充电，音频/耳机输出;特性:节能认证，旋转升降底座，FreeSync，TUV爱眼认证;屏幕比例:16:9;
威普森（WINPSEN）WPS-F1900-E,389.00元,商品编号:10035792829004;店铺: 威普森官方旗舰店;商品毛重:3.4kg;商品产地:中国大陆;屏幕尺寸:21.5英寸及以下;屏幕刷新率:60Hz;分辨率:其他;售后服务:1年质保;面板:IPS技术;响应时间:2ms-4ms;屏幕比例:16:9;接口:HDMI，VGA;
三星F24T350FHC,999.00元,商品编号:100015189598;商品毛重:4.05kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;分辨率:1920*1080dpi;对比度:1000:1;响应时间:5ms;屏幕刷新率:75Hz;售后服务:1年质保;面板:IPS技术;接口:HDMI，VGA;特性:FreeSync，可壁挂;屏幕比例:16:9;
AOCU27N3C,2399.00元,商品编号:100011740619;商品毛重:9.15kg;商品产地:中国大陆;屏幕尺寸:27英寸;HDR:HDR10;分辨率:3840*2160dpi;响应时间:2ms-4ms;屏幕刷新率:60Hz;售后服务:3年质保;面板:IPS技术;接口:Type-C，DP，HDMI，USB扩展/充电，音频/耳机输出;特性:节能认证，旋转升降底座;屏幕比例:16:9;
三星F27T700QQC,1599.00元,商品编号:100008738897;商品毛重:7.9kg;商品产地:中国大陆;屏幕尺寸:27英寸;分辨率:2560*1440dpi;对比度:1000:1;响应时间:5ms;屏幕刷新率:75Hz;售后服务:1年质保;面板:IPS技术;接口:DP，HDMI，音频/耳机输出;特性:旋转升降底座，FreeSync，可壁挂;屏幕比例:16:9;
HKCS2416,789.00元,商品编号:100015946914;商品毛重:4.15kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;分辨率:1920*1080dpi;对比度:1000:1;响应时间:5ms;屏幕刷新率:60Hz;售后服务:3年质保;面板:IPS技术;接口:HDMI，VGA;屏幕比例:16:9;
泰坦军团P24A2G,949.00元,商品编号:100013772695;商品毛重:5.55kg;商品产地:中国大陆;货号:P24A2G;屏幕尺寸:23.5-24英寸;分辨率:1920*1080dpi;对比度:1000:1;响应时间:1ms;屏幕刷新率:165Hz;售后服务:3年质保;面板:IPS (Fast);接口:DP，HDMI，音频/耳机输出;屏幕比例:16:9;
康佳KKTV显示器27电脑显示屏4K\/144Hz便携式28英寸家用办公游戏电竞高清全面屏 【4K-144HZ】28英寸双模切换,899.00元,商品编号:10029365178631;店铺: KKTV显示器旗舰店;商品毛重:5.8kg;屏幕尺寸:28-30英寸;屏幕刷新率:144Hz;分辨率:3840*2160dpi;售后服务:1年质保;面板:其他;屏幕比例:16:9;特性:可壁挂;接口:DP，HDMI，USB扩展/充电，音频/耳机输出;
戴尔U2720QM,3899.00元,商品编号:100011317048;商品毛重:9.26kg;商品产地:中国大陆;屏幕尺寸:27英寸;HDR:HDR400;分辨率:3840*2160dpi;响应时间:5ms;屏幕刷新率:60Hz;售后服务:3年质保;面板:IPS技术;接口:Type-C，DP，HDMI，USB扩展/充电，音频/耳机输出;特性:节能认证，旋转升降底座，TUV爱眼认证，四边微边框;屏幕比例:16:9;
小米小米曲面显示器 34英寸,1999.00元,商品编号:100009387754;商品毛重:10.42kg;商品产地:中国大陆;屏幕尺寸:34-35英寸;屏幕刷新率:144Hz;分辨率:3440*1440dpi;售后服务:3年质保;面板:VA;屏幕比例:21:9;特性:旋转升降底座，FreeSync，可壁挂;接口:DP，HDMI;
AOC27N1H,1199.00元,商品编号:8601400;商品毛重:5.655kg;商品产地:中国大陆;屏幕尺寸:27英寸;分辨率:1920*1080dpi;对比度:1000:1;响应时间:5ms;屏幕刷新率:75Hz;售后服务:3年质保;面板:IPS（LGD）;接口:HDMI，VGA，音频/耳机输出;屏幕比例:16:9;
惠普M22f,799.00元,商品编号:100019734612;商品毛重:3.95kg;商品产地:中国大陆;货号:2E2Y3AA;屏幕尺寸:21.5英寸及以下;屏幕刷新率:75Hz;分辨率:1920*1080dpi;售后服务:3年质保;面板:IPS技术;响应时间:5ms;屏幕比例:16:9;接口:HDMI，VGA;
优派VX2778-2K-HD-2,1149.00元,商品编号:100018872962;商品毛重:6.82kg;商品产地:中国大陆;货号:VX2778-2K-HD-2;屏幕尺寸:27英寸;分辨率:2560*1440dpi;对比度:1000:1;响应时间:2ms-4ms;屏幕刷新率:60Hz;售后服务:3年质保;面板:IPS技术;接口:DP，HDMI，音频/耳机输出;特性:可壁挂，节能认证;屏幕比例:16:9;
康佳KKTV显示器电脑显示屏IPS便携20电竞144HZ刷新率游戏液晶全面屏  【18.5英寸 】直面 黑色,429.00元,商品编号:70372611987;店铺: KKTV显示器旗舰店;商品毛重:4.0kg;屏幕尺寸:21.5英寸及以下;屏幕刷新率:其他;分辨率:其他;售后服务:1年质保;面板:其他;屏幕比例:16:9;特性:可壁挂;接口:HDMI，VGA;
攀升E2201,599.00元,商品编号:100014807153;商品毛重:3.16kg;商品产地:中国大陆;屏幕尺寸:21.5英寸及以下;分辨率:1920*1080dpi;对比度:1000:1;响应时间:5ms;屏幕刷新率:75Hz;售后服务:3年质保;面板:VA;接口:HDMI，VGA，音频/耳机输出;屏幕比例:16:9;
攀升23.8,699.00元,商品编号:100009835641;商品毛重:3.72kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;分辨率:1920*1080dpi;对比度:1000:1;屏幕刷新率:75Hz;售后服务:3年质保;面板:IPS技术;接口:HDMI，VGA;特性:可壁挂;屏幕比例:16:9;
HKCIG27Q,1999.00元,商品编号:100008319415;商品毛重:7.06kg;商品产地:中国大陆;屏幕尺寸:27英寸;分辨率:2560*1440dpi;对比度:1000:1;响应时间:1ms;屏幕刷新率:144Hz;售后服务:3年质保;面板:IPS (Fast);接口:DP，HDMI，音频/耳机输出;特性:FreeSync;屏幕比例:16:9;
小米XMMNT245HF1,1349.00元,商品编号:100011615419;商品毛重:7.25kg;商品产地:中国大陆;屏幕尺寸:24.5-26.9英寸;HDR:HDR400;分辨率:1920*1080dpi;对比度:1000:1;响应时间:2ms-4ms;屏幕刷新率:165Hz;售后服务:3年质保;面板:IPS技术;接口:DP，HDMI，音频/耳机输出，其他;特性:旋转升降底座，G-Sync，TUV爱眼认证;屏幕比例:16:9;
戴尔SE2422H,999.00元,商品编号:100021376734;商品毛重:4.9kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;屏幕刷新率:75Hz;分辨率:1920*1080dpi;售后服务:3年质保;面板:VA;对比度:3000:1;特性:节能认证，FreeSync，TUV爱眼认证;接口:HDMI，VGA;
KKTVK22Y,599.00元,商品编号:100012280513;商品毛重:3.08kg;商品产地:中国大陆;屏幕尺寸:21.5英寸及以下;屏幕刷新率:75Hz;分辨率:其他;售后服务:1年质保;面板:其他;接口:VGA，其他;
LG27GL850,2199.00元,商品编号:100007193420;商品毛重:9.5kg;商品产地:中国大陆;屏幕尺寸:27英寸;HDR:HDR10;分辨率:2560*1440dpi;对比度:1000:1;响应时间:1ms;屏幕刷新率:144Hz;售后服务:3年质保;面板:IPS（Nano）;接口:DP，HDMI，USB扩展/充电，音频/耳机输出;特性:旋转升降底座，G-Sync，FreeSync，可壁挂;屏幕比例:16:9;
BOECA24H0,869.00元,商品编号:100014947252;商品毛重:4.62kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;分辨率:1920*1080dpi;对比度:1000:1;响应时间:5ms;屏幕刷新率:75Hz;售后服务:3年质保;面板:IPS技术;接口:HDMI，VGA，音频/耳机输出;特性:节能认证，TUV爱眼认证;屏幕比例:16:9;
飞利浦275E1E,1349.00元,商品编号:100025671238;商品毛重:8.0kg;商品产地:中国大陆;屏幕尺寸:27英寸;分辨率:2560*1440dpi;对比度:1000:1;响应时间:2ms-4ms;屏幕刷新率:75Hz;售后服务:3年质保;面板:IPS技术;接口:DP，HDMI，VGA，音频/耳机输出;特性:节能认证，可壁挂;屏幕比例:16:9;
小米小米显示器 27英寸 165Hz版,1799.00元,商品编号:100013829958;商品毛重:9.0kg;商品产地:中国大陆;屏幕尺寸:27英寸;HDR:HDR400;分辨率:2560*1440dpi;对比度:1000:1;响应时间:1ms;屏幕刷新率:165Hz;售后服务:3年质保;面板:IPS技术;接口:DP，HDMI，USB扩展/充电，音频/耳机输出;特性:旋转升降底座，TUV爱眼认证;屏幕比例:16:9;
三星U28R550UQC,1999.00元,商品编号:100009558656;商品毛重:7.55kg;商品产地:中国大陆;屏幕尺寸:28-30英寸;HDR:HDR10;分辨率:3840*2160dpi;对比度:1000:1;响应时间:2ms-4ms;屏幕刷新率:60Hz;售后服务:1年质保;面板:IPS技术;接口:DP，HDMI，音频/耳机输出;特性:FreeSync;屏幕比例:16:9;
KKTVE55C55,889.00元,商品编号:10038153264256;店铺: KKTV显示器旗舰店;商品毛重:3.0kg;屏幕尺寸:27英寸;分辨率:3840*2160dpi;售后服务:1年质保;面板:VA;特性:可壁挂;接口:DP，HDMI;
飞利浦243V7QDSB,899.00元,商品编号:5189035;商品毛重:4.79kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;分辨率:1920*1080dpi;对比度:1000:1;响应时间:2ms-4ms;屏幕刷新率:75Hz;售后服务:3年质保;面板:IPS（LGD）;接口:HDMI，DVI，VGA;特性:可壁挂;屏幕比例:16:9;
微星G241,999.00元,商品编号:100008565579;商品毛重:5.02kg;商品产地:中国;屏幕尺寸:23.5-24英寸;分辨率:1920*1080dpi;对比度:1000:1;响应时间:1ms;屏幕刷新率:144Hz;售后服务:3年上门，3年质保;面板:IPS技术;接口:DP，HDMI，音频/耳机输出;特性:FreeSync;屏幕比例:16:9;
三星C32R500FHC,1499.00元,商品编号:100010957312;商品毛重:9.04kg;商品产地:中国大陆;屏幕尺寸:31.5-32英寸;分辨率:1920*1080dpi;对比度:3000:1;屏幕刷新率:75Hz;面板:VA;售后服务:1年质保;接口:HDMI，VGA，音频/耳机输出;屏幕比例:16:9;特性:FreeSync，可壁挂;曲率:1500R;
优派VX2478-smhd-2,1099.00元,商品编号:4238175;商品毛重:5.3kg;商品产地:中国大陆;货号:VX2478-smhd-2;屏幕尺寸:23.5-24英寸;屏幕刷新率:60Hz;分辨率:2560*1440dpi;售后服务:3年质保;面板:IPS技术;屏幕比例:16:9;特性:节能认证，可壁挂;接口:DP，HDMI，音频/耳机输出;
AOCQ3279VWFD8/WS,1549.00元,商品编号:6574079;商品毛重:10.02kg;商品产地:中国大陆;屏幕尺寸:31.5-32英寸;分辨率:2560*1440dpi;响应时间:5ms;屏幕刷新率:75Hz;售后服务:3年质保;面板:IPS技术;接口:DP，HDMI，DVI，VGA，音频/耳机输出;特性:FreeSync;屏幕比例:16:9;
联想L24q-35,1299.00元,商品编号:100027320584;商品毛重:5.45kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;分辨率:2560*1440dpi;对比度:1000:1;响应时间:2ms-4ms;屏幕刷新率:其他;售后服务:1年质保;面板:IPS技术;接口:DP，HDMI;屏幕比例:16:9;
HPCH22,519.00元,商品编号:100022005872;商品毛重:3.1kg;商品产地:中国大陆;屏幕尺寸:21.5英寸及以下;分辨率:1920*1080dpi;对比度:3000:1;响应时间:5ms;屏幕刷新率:60Hz;售后服务:3年质保;面板:VA;接口:VGA;屏幕比例:16:9;
华硕VG27AQ1A,1999.00元,商品编号:100015042042;商品毛重:7.55kg;商品产地:中国大陆;屏幕尺寸:27英寸;HDR:HDR10;分辨率:2560*1440dpi;对比度:1000:1;响应时间:1ms;屏幕刷新率:170Hz;售后服务:3年质保;面板:IPS技术;接口:DP，HDMI，音频/耳机输出;特性:G-Sync;屏幕比例:16:9;
创维27X4Q,1199.00元,商品编号:100012151749;商品毛重:5.26kg;商品产地:中国大陆;屏幕尺寸:27英寸;分辨率:2560*1440dpi;对比度:1000:1;响应时间:5ms;屏幕刷新率:75Hz;售后服务:3年上门，3年质保;面板:IPS技术;接口:DP，HDMI，音频/耳机输出;屏幕比例:16:9;
AOCX23E1H,849.00元,商品编号:7250224;商品毛重:4.06kg;商品产地:中国大陆;屏幕尺寸:22-23英寸;分辨率:1920*1200dpi;对比度:1000:1;响应时间:5ms;屏幕刷新率:60Hz;售后服务:3年上门，3年质保;面板:IPS（LGD）;接口:HDMI，VGA，音频/耳机输出;特性:节能认证;屏幕比例:16:10;
飞利浦288E2E,1699.00元,商品编号:100013265438;商品毛重:8.42kg;商品产地:中国大陆;屏幕尺寸:28-30英寸;分辨率:3840*2160dpi;对比度:1000:1;响应时间:2ms-4ms;屏幕刷新率:60Hz;售后服务:3年质保;面板:IPS技术;接口:DP，HDMI，音频/耳机输出，其他;特性:FreeSync，可壁挂;屏幕比例:16:9;
雷神DQ27C165L,1899.00元,商品编号:100010385557;商品毛重:7.95kg;商品产地:中国大陆;屏幕尺寸:27英寸;HDR:HDR10;分辨率:2560*1440dpi;响应时间:1ms;屏幕刷新率:165Hz;面板:VA;售后服务:3年质保;屏幕比例:16:9;接口:DP，HDMI，音频/耳机输出;特性:G-Sync，FreeSync;曲率:1000R;
三星C27G55TQWC,1899.00元,商品编号:100014744592;商品毛重:6.25kg;商品产地:中国大陆;屏幕尺寸:27英寸;HDR:HDR10;分辨率:2560*1440dpi;对比度:2500:1;屏幕刷新率:144Hz;面板:VA;售后服务:1年质保;屏幕比例:16:9;接口:DP，HDMI;特性:FreeSync;曲率:1000R;
戴尔U2422HX,1799.00元,商品编号:100020087030;商品毛重:7.8kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;分辨率:1920*1080dpi;对比度:1000:1;响应时间:5ms;屏幕刷新率:60Hz;售后服务:3年上门;面板:IPS技术;接口:Type-C，DP，HDMI，USB扩展/充电，音频/耳机输出;特性:节能认证，旋转升降底座，TUV爱眼认证，四边微边框;屏幕比例:16:9;
华为HSN-CAA,3499.00元,商品编号:100011355877;商品毛重:9.52kg;商品产地:中国大陆;屏幕尺寸:28-30英寸;屏幕刷新率:60Hz;分辨率:其他;售后服务:1年质保;面板:IPS技术;HDR:HDR400;接口:Type-C，DP，HDMI，音频/耳机输出;
AOCQ2490PXQ,1399.00元,商品编号:5375281;商品毛重:6.6kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;分辨率:2560*1440dpi;对比度:1000:1;响应时间:5ms;屏幕刷新率:60Hz;售后服务:3年质保;面板:IPS技术;接口:DP，HDMI，VGA，音频/耳机输出;特性:可壁挂，旋转升降底座;屏幕比例:16:9;
HKCTG34C3U,1999.00元,商品编号:100026096830;商品毛重:9.6kg;商品产地:中国大陆;屏幕尺寸:34-35英寸;分辨率:3440*1440dpi;对比度:3000:1;类型:曲面屏;响应时间:1ms;屏幕刷新率:144Hz;面板:VA;售后服务:3年质保;屏幕比例:21:9;接口:DP，HDMI，音频/耳机输出;特性:旋转升降底座，FreeSync;曲率:1500R;
宇视联合 三星LG京东方液晶拼接屏55英寸监控显示器会议室大屏幕led无缝电视墙直播间背景 无缝拼接屏定制（新一代多规格）,1800.00元,商品编号:72076291631;店铺: 宇视联合官方旗舰店;商品毛重:25.0kg;商品产地:中国大陆;屏幕尺寸:50英寸及以上;屏幕刷新率:60Hz;分辨率:2560*1440dpi;售后服务:1年质保;面板:其他;屏幕比例:16:9;特性:可壁挂，商用大屏显示器，四边微边框;接口:HDMI，USB扩展/充电，音频/耳机输出;
华为ZQE-CBA,2399.00元,商品编号:100021420808;商品毛重:12.86kg;商品产地:中国大陆;屏幕尺寸:34-35英寸;HDR:HDR10;分辨率:3440*1440dpi;对比度:4000:1;屏幕刷新率:165Hz;售后服务:1年质保;面板:VA;接口:DP，HDMI，USB扩展/充电;屏幕比例:21:9;曲率:1500R;
HKCS2716,899.00元,商品编号:100019034176;商品毛重:5.5kg;商品产地:中国大陆;屏幕尺寸:27英寸;分辨率:1920*1080dpi;对比度:1000:1;响应时间:5ms;屏幕刷新率:60Hz;售后服务:3年质保;面板:IPS技术;接口:HDMI，VGA;屏幕比例:16:9;
KKTVK24QB,799.00元,商品编号:100012087833;商品毛重:3.16kg;商品产地:中国大陆;屏幕尺寸:23.5-24英寸;屏幕刷新率:75Hz;分辨率:其他;售后服务:1年质保;面板:其他;接口:HDMI，VGA;
